InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost
"Estimated","336932533718","","PayerLineItem","3400000000220448279","2015/01/01 00:00:00","2015/01/31 23:59:59","2015/01/07 08:06:43","capken","","Room 101  No. 116  Lane 667 Jufeng Road, Shanghai, Shanghai, 201204, CN",,"AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","TimedStorage-ByteHrs",,"3309731","$0.0300 per GB - first 1 TB / month of storage used","2015/01/01 00:00:00","2015/01/31 23:59:59","0.23776578",,"USD","0.01","0.0","0.000000","None","0.010000"
"Estimated","336932533718","","PayerLineItem","3400000000222298364","2015/01/01 00:00:00","2015/01/31 23:59:59","2015/01/07 08:06:43","capken","","Room 101  No. 116  Lane 667 Jufeng Road, Shanghai, Shanghai, 201204, CN",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","USW1-USE1-AWS-Out-Bytes",,"3510817","$0.02 per GB - US West (Northern California) data transfer to US East (Northern Virginia)","2015/01/01 00:00:00","2015/01/31 23:59:59","0.00004019",,"USD","0.01","0.0","0.000000","None","0.010000"
"Estimated","336932533718","","PayerLineItem","3400000000221475875","2015/01/01 00:00:00","2015/01/31 23:59:59","2015/01/07 08:06:43","capken","","Room 101  No. 116  Lane 667 Jufeng Road, Shanghai, Shanghai, 201204, CN",,"AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","Requests-Tier1",,"3309725","$0.005 per 1,000 PUT, COPY, POST, or LIST requests","2015/01/01 00:00:00","2015/01/31 23:59:59","3.0",,"USD","0.01","0.0","0.000000","None","0.010000"
"Estimated","336932533718","","PayerLineItem","3400000000221475876","2015/01/01 00:00:00","2015/01/31 23:59:59","2015/01/07 08:06:43","capken","","Room 101  No. 116  Lane 667 Jufeng Road, Shanghai, Shanghai, 201204, CN",,"AmazonSNS","Amazon Simple Notification Service","Amazon Web Services, Inc.","USW1-Requests-Tier1",,"3305160","First 1,000,000 Amazon SNS API Requests per month are free","2015/01/01 00:00:00","2015/01/31 23:59:59","6.0",,"USD","0.00","0.0","0.000000","None","0.000000"
"Estimated","336932533718","","PayerLineItem","3400000000221475877","2015/01/01 00:00:00","2015/01/31 23:59:59","2015/01/07 08:06:43","capken","","Room 101  No. 116  Lane 667 Jufeng Road, Shanghai, Shanghai, 201204, CN",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","USW1-DataTransfer-Out-Bytes",,"3510859","$0.000 per GB - first 1 GB of data transferred out per month","2015/01/01 00:00:00","2015/01/31 23:59:59","0.00006268",,"USD","0.00","0.0","0.000000","None","0.000000"
"Estimated","336932533718","","PayerLineItem","3400000000222298365","2015/01/01 00:00:00","2015/01/31 23:59:59","2015/01/07 08:06:43","capken","","Room 101  No. 116  Lane 667 Jufeng Road, Shanghai, Shanghai, 201204, CN",,"AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","USW1-Requests-Tier2",,"3309708","$0.0044 per 10,000 GET and all other requests","2015/01/01 00:00:00","2015/01/31 23:59:59","130.0",,"USD","0.01","0.0","0.000000","None","0.010000"
"Estimated","336932533718","","PayerLineItem","3400000000222298366","2015/01/01 00:00:00","2015/01/31 23:59:59","2015/01/07 08:06:43","capken","","Room 101  No. 116  Lane 667 Jufeng Road, Shanghai, Shanghai, 201204, CN",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","USW1-USE1-AWS-In-Bytes",,"3510818","$0.00 per GB - US West (Northern California) data transfer from US East (Northern Virginia)","2015/01/01 00:00:00","2015/01/31 23:59:59","0.00034205",,"USD","0.00","0.0","0.000000","None","0.000000"
"Estimated","336932533718","","PayerLineItem","3400000000222298367","2015/01/01 00:00:00","2015/01/31 23:59:59","2015/01/07 08:06:43","capken","","Room 101  No. 116  Lane 667 Jufeng Road, Shanghai, Shanghai, 201204, CN",,"AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","USW1-Requests-Tier1",,"3309709","$0.0055 per 1,000 PUT, COPY, POST, or LIST requests","2015/01/01 00:00:00","2015/01/31 23:59:59","160.0",,"USD","0.01","0.0","0.000000","None","0.010000"
"Estimated","336932533718","","PayerLineItem","3400000000222298368","2015/01/01 00:00:00","2015/01/31 23:59:59","2015/01/07 08:06:43","capken","","Room 101  No. 116  Lane 667 Jufeng Road, Shanghai, Shanghai, 201204, CN",,"AmazonS3","Amazon Simple Storage Service","Amazon Web Services, Inc.","USW1-TimedStorage-ByteHrs",,"3309715","$0.0330 per GB - first 1 TB / month of storage used","2015/01/01 00:00:00","2015/01/31 23:59:59","0.00001801",,"USD","0.01","0.0","0.000000","None","0.010000"
"Estimated","336932533718","","PayerLineItem","3400000000221475878","2015/01/01 00:00:00","2015/01/31 23:59:59","2015/01/07 08:06:43","capken","","Room 101  No. 116  Lane 667 Jufeng Road, Shanghai, Shanghai, 201204, CN",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"3510871","$0.000 per GB - first 1 GB of data transferred out per month","2015/01/01 00:00:00","2015/01/31 23:59:59","0.00000163",,"USD","0.00","0.0","0.000000","None","0.000000"
